management,subscriber_id,md_id,date,gas_consumption,source,month,year,season,heating_season,month_name
г.Амвросиевка,101000011758,2511410,2020-01-01,8215,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007290,1754506,2020-01-01,13882,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002008,1742240,2020-01-01,56161,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000002901,1745228,2020-01-01,81801,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007543,1755264,2020-01-01,23957,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000007685,1755760,2020-01-01,49195,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000009232,1759928,2020-01-01,25891,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000010900,1736536,2020-01-01,6694,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002049,1742398,2020-01-01,62481,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000003874,1748568,2020-01-01,43688,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000004411,2532849,2020-01-01,1166,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000008587,1758220,2020-01-01,20050,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000004413,1750406,2020-01-01,1266,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000011562,1738074,2020-01-01,14250,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010186,1735254,2020-01-01,11985,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012219,3610734,2020-01-01,3574,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002052,1742410,2020-01-01,38132,по данным абонента,1,2020,winter,1,January
г.Амвросиевка,101000008586,1758218,2020-01-01,91342,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000012420,1739496,2020-01-01,19827,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000188,1741838,2020-01-01,23315,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000006048,2765015,2020-01-01,2616,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002053,1742414,2020-01-01,19276,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007976,1756598,2020-01-01,12812,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000002054,1742420,2020-01-01,92164,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000001270,1739746,2020-01-01,14527,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000003873,1748566,2020-01-01,16517,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000002055,1742424,2020-01-01,73650,контрольное снятие,1,2020,winter,1,January
